Frecuencia,0,10,20,30,40,50,60,70,80,90,-90,-80,-70,-60,-50,-40,-30,-20,-10
63.523,0,0.469994,1.212017,1.399269,1.339047,0.678162,1.201966,1.194336,1.356251,1.002602,1.002602,1.356251,1.194336,1.201966,0.678162,1.339047,1.399269,1.212017,0.469994
64.314,0,0.450757,1.209851,1.314106,1.112671,0.505993,0.993985,0.931874,1.16642,0.788746,0.788746,1.16642,0.931874,0.993985,0.505993,1.112671,1.314106,1.209851,0.450757
65.114,0,0.328629,1.180161,1.220341,0.759182,0.320275,0.638382,0.574551,0.866871,0.455239,0.455239,0.866871,0.574551,0.638382,0.320275,0.759182,1.220341,1.180161,0.328629
65.925,0,0.173386,1.133896,1.099907,0.36374,0.160016,0.245389,0.197915,0.55024,0.097722,0.097722,0.55024,0.197915,0.245389,0.160016,0.36374,1.099907,1.133896,0.173386
66.745,0,0.055019,1.079483,0.9645,0.015106,0.043308,-0.089673,-0.13276,0.289089,-0.197495,-0.197495,0.289089,-0.13276,-0.089673,0.043308,0.015106,0.9645,1.079483,0.055019
67.576,0,-0.007881,1.008873,0.825974,-0.248169,-0.028889,-0.337257,-0.38269,0.107582,-0.40105,-0.40105,0.107582,-0.38269,-0.337257,-0.028889,-0.248169,0.825974,1.008873,-0.007881
68.418,0,-0.047505,0.919521,0.697887,-0.454292,-0.06073,-0.543797,-0.551243,-0.017185,-0.539257,-0.539257,-0.017185,-0.551243,-0.543797,-0.06073,-0.454292,0.697887,0.919521,-0.047505
69.269,0,-0.063622,0.825806,0.585243,-0.598724,-0.059517,-0.708656,-0.659454,-0.098618,-0.617447,-0.617447,-0.098618,-0.659454,-0.708656,-0.059517,-0.598724,0.585243,0.825806,-0.063622
70.132,0,-0.066345,0.73513,0.490936,-0.685585,-0.0294,-0.836525,-0.728863,-0.152634,-0.650566,-0.650566,-0.152634,-0.728863,-0.836525,-0.0294,-0.685585,0.490936,0.73513,-0.066345
71.005,0,-0.061454,0.660088,0.416947,-0.718414,0.037964,-0.937263,-0.777847,-0.190753,-0.650272,-0.650272,-0.190753,-0.777847,-0.937263,0.037964,-0.718414,0.416947,0.660088,-0.061454
71.889,0,-0.055451,0.603653,0.362221,-0.708756,0.124946,-1.021332,-0.819229,-0.222016,-0.632584,-0.632584,-0.222016,-0.819229,-1.021332,0.124946,-0.708756,0.362221,0.603653,-0.055451
72.784,0,-0.050972,0.564805,0.329575,-0.677124,0.198624,-1.095199,-0.85411,-0.245758,-0.610206,-0.610206,-0.245758,-0.85411,-1.095199,0.198624,-0.677124,0.329575,0.564805,-0.050972
73.69,0,-0.048829,0.542945,0.319728,-0.641842,0.242569,-1.164124,-0.880478,-0.25734,-0.591603,-0.591603,-0.25734,-0.880478,-1.164124,0.242569,-0.641842,0.319728,0.542945,-0.048829
74.607,0,-0.049049,0.537216,0.332699,-0.610218,0.260944,-1.230774,-0.896568,-0.255013,-0.579712,-0.579712,-0.255013,-0.896568,-1.230774,0.260944,-0.610218,0.332699,0.537216,-0.049049
75.536,0,-0.052147,0.543167,0.362827,-0.588215,0.259781,-1.295906,-0.903374,-0.243138,-0.573986,-0.573986,-0.243138,-0.903374,-1.295906,0.259781,-0.588215,0.362827,0.543167,-0.052147
76.476,0,-0.055244,0.556347,0.401612,-0.579441,0.249771,-1.354931,-0.901222,-0.225906,-0.568073,-0.568073,-0.225906,-0.901222,-1.354931,0.249771,-0.579441,0.401612,0.556347,-0.055244
77.428,0,-0.053573,0.572235,0.442345,-0.582989,0.255051,-1.398521,-0.890568,-0.204201,-0.552002,-0.552002,-0.204201,-0.890568,-1.398521,0.255051,-0.582989,0.442345,0.572235,-0.053573
78.392,0,-0.041263,0.583748,0.479851,-0.594749,0.292027,-1.416957,-0.869854,-0.177581,-0.513332,-0.513332,-0.177581,-0.869854,-1.416957,0.292027,-0.594749,0.479851,0.583748,-0.041263
79.368,0,-0.007736,0.58435,0.511215,-0.606797,0.360878,-1.407463,-0.838547,-0.143891,-0.44471,-0.44471,-0.143891,-0.838547,-1.407463,0.360878,-0.606797,0.511215,0.58435,-0.007736
80.356,0,0.05597,0.56469,0.532597,-0.610973,0.452233,-1.375495,-0.796062,-0.102188,-0.343727,-0.343727,-0.102188,-0.796062,-1.375495,0.452233,-0.610973,0.532597,0.56469,0.05597
81.356,0,0.1488,0.51545,0.54245,-0.600998,0.553787,-1.341766,-0.747997,-0.06509,-0.215095,-0.215095,-0.06509,-0.747997,-1.341766,0.553787,-0.600998,0.54245,0.51545,0.1488
82.369,0,0.265759,0.429394,0.537415,-0.571125,0.652065,-1.323254,-0.700733,-0.04842,-0.061989,-0.061989,-0.04842,-0.700733,-1.323254,0.652065,-0.571125,0.537415,0.429394,0.265759
83.394,0,0.399742,0.292961,0.503139,-0.518158,0.721664,-1.32779,-0.661324,-0.070973,0.105583,0.105583,-0.070973,-0.661324,-1.32779,0.721664,-0.518158,0.503139,0.292961,0.399742
84.433,0,0.534974,0.088673,0.445145,-0.462806,0.741139,-1.33834,-0.618782,-0.141429,0.253952,0.253952,-0.141429,-0.618782,-1.33834,0.741139,-0.462806,0.445145,0.088673,0.534974
85.484,0,0.649643,-0.162712,0.389873,-0.434445,0.687305,-1.324845,-0.55743,-0.255181,0.334015,0.334015,-0.255181,-0.55743,-1.324845,0.687305,-0.434445,0.389873,-0.162712,0.649643
86.548,0,0.678086,-0.416946,0.318157,-0.484634,0.545952,-1.357982,-0.549774,-0.413337,0.316849,0.316849,-0.413337,-0.549774,-1.357982,0.545952,-0.484634,0.318157,-0.416946,0.678086
87.625,0,0.630462,-0.604325,0.225029,-0.604661,0.325927,-1.401253,-0.599938,-0.570595,0.208919,0.208919,-0.570595,-0.599938,-1.401253,0.325927,-0.604661,0.225029,-0.604325,0.630462
88.716,0,0.573795,-0.696602,0.111103,-0.722149,0.062008,-1.400845,-0.700008,-0.69294,0.060856,0.060856,-0.69294,-0.700008,-1.400845,0.062008,-0.722149,0.111103,-0.696602,0.573795
89.82,0,0.524571,-0.732933,-0.005672,-0.835853,-0.199916,-1.414459,-0.825897,-0.796897,-0.105827,-0.105827,-0.796897,-0.825897,-1.414459,-0.199916,-0.835853,-0.005672,-0.732933,0.524571
90.939,0,0.495506,-0.744614,-0.111008,-0.941582,-0.425866,-1.462281,-0.958275,-0.891316,-0.267243,-0.267243,-0.891316,-0.958275,-1.462281,-0.425866,-0.941582,-0.111008,-0.744614,0.495506
92.071,0,0.483104,-0.739354,-0.199517,-1.03685,-0.603234,-1.530484,-1.07811,-0.990525,-0.427491,-0.427491,-0.990525,-1.07811,-1.530484,-0.603234,-1.03685,-0.199517,-0.739354,0.483104
93.217,0,0.493077,-0.714447,-0.26358,-1.103775,-0.720405,-1.590149,-1.172325,-1.092361,-0.577812,-0.577812,-1.092361,-1.172325,-1.590149,-0.720405,-1.103775,-0.26358,-0.714447,0.493077
94.377,0,0.527542,-0.684853,-0.299847,-1.128552,-0.792046,-1.625531,-1.249421,-1.181481,-0.691285,-0.691285,-1.181481,-1.249421,-1.625531,-0.792046,-1.128552,-0.299847,-0.684853,0.527542
95.552,0,0.573021,-0.654766,-0.318016,-1.121483,-0.83622,-1.641655,-1.314213,-1.260998,-0.76976,-0.76976,-1.260998,-1.314213,-1.641655,-0.83622,-1.121483,-0.318016,-0.654766,0.573021
96.742,0,0.619148,-0.627068,-0.325401,-1.092888,-0.866497,-1.631725,-1.349335,-1.31382,-0.812798,-0.812798,-1.31382,-1.349335,-1.631725,-0.866497,-1.092888,-0.325401,-0.627068,0.619148
97.946,0,0.659912,-0.603417,-0.327053,-1.048424,-0.885716,-1.589668,-1.341736,-1.324825,-0.819607,-0.819607,-1.324825,-1.341736,-1.589668,-0.885716,-1.048424,-0.327053,-0.603417,0.659912
99.165,0,0.695945,-0.579625,-0.322579,-0.993615,-0.906296,-1.52504,-1.313866,-1.296235,-0.793694,-0.793694,-1.296235,-1.313866,-1.52504,-0.906296,-0.993615,-0.322579,-0.579625,0.695945
100.4,0,0.734001,-0.546455,-0.30822,-0.929558,-0.934879,-1.444801,-1.274666,-1.238968,-0.740036,-0.740036,-1.238968,-1.274666,-1.444801,-0.934879,-0.929558,-0.30822,-0.546455,0.734001
101.65,0,0.775589,-0.514923,-0.284184,-0.855549,-0.949173,-1.354569,-1.221436,-1.168583,-0.667294,-0.667294,-1.168583,-1.221436,-1.354569,-0.949173,-0.855549,-0.284184,-0.514923,0.775589
102.915,0,0.821179,-0.486107,-0.254135,-0.775158,-0.935146,-1.26424,-1.158676,-1.098289,-0.58554,-0.58554,-1.098289,-1.158676,-1.26424,-0.935146,-0.775158,-0.254135,-0.486107,0.821179
104.196,0,0.880882,-0.454056,-0.210221,-0.684395,-0.905991,-1.177399,-1.088173,-1.02789,-0.491982,-0.491982,-1.02789,-1.088173,-1.177399,-0.905991,-0.684395,-0.210221,-0.454056,0.880882
105.493,0,0.947602,-0.416393,-0.161369,-0.58213,-0.89838,-1.111366,-1.020507,-0.970363,-0.402343,-0.402343,-0.970363,-1.020507,-1.111366,-0.89838,-0.58213,-0.161369,-0.416393,0.947602
106.806,0,0.993973,-0.394737,-0.134796,-0.512192,-0.946884,-1.100273,-0.989365,-0.96682,-0.356915,-0.356915,-0.96682,-0.989365,-1.100273,-0.946884,-0.512192,-0.134796,-0.394737,0.993973
108.136,0,1.044502,-0.388211,-0.101777,-0.47675,-0.970852,-1.103337,-0.98589,-1.015664,-0.348408,-0.348408,-1.015664,-0.98589,-1.103337,-0.970852,-0.47675,-0.101777,-0.388211,1.044502
109.482,0,1.084073,-0.395076,-0.074691,-0.489017,-0.98357,-1.147384,-1.042774,-1.160533,-0.402729,-0.402729,-1.160533,-1.042774,-1.147384,-0.98357,-0.489017,-0.074691,-0.395076,1.084073
110.845,0,1.082047,-0.414337,-0.092468,-0.563328,-1.073555,-1.281158,-1.196655,-1.435558,-0.545913,-0.545913,-1.435558,-1.196655,-1.281158,-1.073555,-0.563328,-0.092468,-0.414337,1.082047
112.225,0,1.05455,-0.460892,-0.13733,-0.701447,-1.155587,-1.398728,-1.370736,-1.810334,-0.792351,-0.792351,-1.810334,-1.370736,-1.398728,-1.155587,-0.701447,-0.13733,-0.460892,1.05455
113.622,0,0.940094,-0.527241,-0.182979,-0.821819,-1.148807,-1.459606,-1.497524,-2.146187,-1.110325,-1.110325,-2.146187,-1.497524,-1.459606,-1.148807,-0.821819,-0.182979,-0.527241,0.940094
115.037,0,0.759476,-0.606357,-0.2182,-0.921745,-1.057064,-1.472053,-1.514484,-2.274421,-1.344894,-1.344894,-2.274421,-1.514484,-1.472053,-1.057064,-0.921745,-0.2182,-0.606357,0.759476
116.469,0,0.556553,-0.678673,-0.218708,-0.992977,-0.886852,-1.427299,-1.374962,-2.09634,-1.366989,-1.366989,-2.09634,-1.374962,-1.427299,-0.886852,-0.992977,-0.218708,-0.678673,0.556553
117.919,0,0.273056,-0.784531,-0.266411,-1.007805,-0.751579,-1.363838,-1.187012,-1.76836,-1.283768,-1.283768,-1.76836,-1.187012,-1.363838,-0.751579,-1.007805,-0.266411,-0.784531,0.273056
119.386,0,-0.048027,-0.909272,-0.376995,-0.975495,-0.703507,-1.310242,-1.040142,-1.455765,-1.208306,-1.208306,-1.455765,-1.040142,-1.310242,-0.703507,-0.975495,-0.376995,-0.909272,-0.048027
120.873,0,-0.25222,-0.884689,-0.437919,-0.929157,-0.627777,-1.208564,-0.919964,-1.233162,-1.156913,-1.156913,-1.233162,-0.919964,-1.208564,-0.627777,-0.929157,-0.437919,-0.884689,-0.25222
122.377,0,-0.39378,-0.803841,-0.485512,-0.89608,-0.572289,-1.138047,-0.844563,-1.111344,-1.169258,-1.169258,-1.111344,-0.844563,-1.138047,-0.572289,-0.89608,-0.485512,-0.803841,-0.39378
123.901,0,-0.484802,-0.713017,-0.519344,-0.877594,-0.549576,-1.114693,-0.815842,-1.075642,-1.242649,-1.242649,-1.075642,-0.815842,-1.114693,-0.549576,-0.877594,-0.519344,-0.713017,-0.484802
125.443,0,-0.553768,-0.660274,-0.576687,-0.907097,-0.592708,-1.175918,-0.882885,-1.152675,-1.405945,-1.405945,-1.152675,-0.882885,-1.175918,-0.592708,-0.907097,-0.576687,-0.660274,-0.553768
127.005,0,-0.624684,-0.681637,-0.682541,-1.002777,-0.721138,-1.349427,-1.079293,-1.361988,-1.684204,-1.684204,-1.361988,-1.079293,-1.349427,-0.721138,-1.002777,-0.682541,-0.681637,-0.624684
128.586,0,-0.70483,-0.724601,-0.804119,-1.131427,-0.867855,-1.556957,-1.325683,-1.648883,-2.037761,-2.037761,-1.648883,-1.325683,-1.556957,-0.867855,-1.131427,-0.804119,-0.724601,-0.70483
